Year,Season,Rank,Title,English Title,Romaji Title,Wymagane,Ile jest,Brakuje,Kolumna1,,,,
2024,WINTER,17,My Instant Death Ability is Overpowered,My Instant Death Ability is Overpowered,"Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",3,3,0,,,,,
2024,WINTER,18,The Witch and the Beast,The Witch and the Beast,Majo to Yajuu,3,3,0,,,,,
2024,WINTER,19,Blue Exorcist -Shimane Illuminati Saga-,Blue Exorcist -Shimane Illuminati Saga-,Ao no Exorcist: Shimane Illuminati-hen,3,3,0,,,,,
2024,WINTER,20,"Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside Season 2","Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside Season 2","Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita 2nd",3,3,0,,,,,
2023,FALL,1,Frieren Beyond Journey’s End,Frieren: Beyond Journey’s End,Sousou no Frieren,7,8,-1,,,,,
2023,FALL,2,The Apothecary Diaries,The Apothecary Diaries,Kusuriya no Hitorigoto,7,7,0,,,,,
2023,FALL,3,SPY x FAMILY Season 2,SPY x FAMILY Season 2,SPY×FAMILY Season 2,7,7,0,,,,,
2023,FALL,4,The Eminence in Shadow Season 2,The Eminence in Shadow Season 2,Kage no Jitsuryokusha ni Naritakute! 2nd season,7,7,0,,,,,
2023,FALL,5,Shangri-La Frontier,Shangri-La Frontier,Shangri-La Frontier,7,7,0,,,,,
2023,FALL,6,Attack on Titan Final Season THE FINAL CHAPTERS Special 2,Attack on Titan Final Season THE FINAL CHAPTERS Special 2,Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen,5,,5,,,,,
2023,FALL,7,The Rising of the Shield Hero Season 3,The Rising of the Shield Hero Season 3,Tate no Yuusha no Nariagari Season 3,5,4,1,,,,,
2023,FALL,8,Undead Unluck,Undead Unluck,Undead Unluck,5,5,0,,,,,
2023,FALL,9,Dr. STONE New World Part 2,Dr. STONE New World Part 2,Dr. STONE: NEW WORLD Part 2,5,5,0,,,,,
2023,FALL,10,GOBLIN SLAYER II,GOBLIN SLAYER II,Goblin Slayer II,5,5,0,,,,,
2023,FALL,11,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You","The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,3,4,-1,,,,,
2023,FALL,12,Ragna Crimson,Ragna Crimson,Ragna Crimson,3,4,-1,,,,,
2023,FALL,13,PLUTO,PLUTO,PLUTO,3,3,0,,,,,
2023,FALL,14,SPY x FAMILY CODE White,SPY x FAMILY CODE: White,SPY×FAMILY CODE: White,3,3,0,,,,,
2023,FALL,15,Berserk of Gluttony,Berserk of Gluttony,Boushoku no Berserk,3,3,0,,,,,
2023,FALL,16,The Kingdoms of Ruin,The Kingdoms of Ruin,Hametsu no Oukoku,3,3,0,,,,,
2023,FALL,17,Tokyo Revengers Season 2 Part 2,Tokyo Revengers Season 2 Part 2,Tokyo Revengers: Tenjiku-hen,3,3,0,,,,,
2023,FALL,18,Our Dating Story The Experienced You and The Inexperienced Me,Our Dating Story: The Experienced You and The Inexperienced Me,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",3,3,0,,,,,
2023,FALL,19,Rascal Does Not Dream of a Knapsack Kid,Rascal Does Not Dream of a Knapsack Kid,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,3,1,2,,,,,
2023,FALL,20,A Returner's Magic Should Be Special,A Returner's Magic Should Be Special,Kikansha no Mahou wa Tokubetsu desu,3,3,0,,,,,
2023,SUMMER,1,JUJUTSU KAISEN Season 2,JUJUTSU KAISEN Season 2,Jujutsu Kaisen 2nd Season,7,7,0,,,,,
2023,SUMMER,2,Mushoku Tensei Jobless Reincarnation Season 2,Mushoku Tensei: Jobless Reincarnation Season 2,Mushoku Tensei II: Isekai Ittara Honki Dasu,7,6,1,,,,,
2023,SUMMER,3,Zom 100 Bucket List of the Dead,Zom 100: Bucket List of the Dead,Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,7,7,0,,,,,
2023,SUMMER,4,Horimiya The Missing Pieces,Horimiya: The Missing Pieces,Horimiya: piece,7,6,1,,,,,
2023,SUMMER,5,My Happy Marriage,My Happy Marriage,Watashi no Shiawase na Kekkon,7,7,0,,,,,
